,name,form,rating,rawErg,erg,age,sire,fee,crop,dam,ems3,bmSire,damForm,sex_C,sex_F,sex_G,sex_R,avgSireRating,avgSireErg,avgSireForm,avgDamRating,avgDamErg,avgBmSireRating,avgBmSireErg,avgBmSireForm,sireIsElite,damIsElite,bmSireIsElite,sireIsEliteErg,damIsEliteErg,bmSireIsEliteErg,sireIsEliteForm,bmSireIsEliteForm,lineage_score
1,Aussie Pride,2,86,80,71,8,Curlin,150000.0,9,Bounding,57,Lonhro,4,0.0,0.0,1.0,0.0,72.97797260590544,47.33428480554249,1.7072440827124842,67.77345219514147,35.73662637905044,61.4016963821187,36.85082326142928,1.3594552500633663,1,0,0,1,0,0,0,0,69.41994902857003
3,Mendelssohn,4,101,73,73,11,Scat Daddy,30000.0,7,Leslie's Lady,56,Tricky Creek,0,1.0,0.0,0.0,0.0,73.26225357550668,31.552703697716126,1.7150573009210992,68.44011886180814,30.653293045717106,68.84505943090407,22.659979856191885,1.7189105001267329,1,0,0,0,0,0,1,1,70.91192730402179
5,Brother in Arms,1,79,90,91,8,War Front,250000.0,11,Believe You Can,57,Proud Citizen,4,0.0,0.0,1.0,0.0,75.56658829680042,60.3706308715131,1.7310289114052386,69.21876175611318,47.85596776990702,65.12318214995608,34.62348950554818,1.630972761920855,1,0,0,1,1,0,1,0,71.77833808553324
7,Gun It,2,97,150,150,10,Tapit,300000.0,11,Miss Besilu,79,Medaglia d'Oro,3,1.0,0.0,0.0,0.0,74.80545724685928,75.33113544800872,1.6595716893997001,70.85678552847482,45.98662637905044,69.32199187627299,42.200425429038376,1.6913922770924363,1,1,0,1,1,1,0,0,72.60090233983676
8,Declarationofpeace,0,85,127,118,11,War Front,150000.0,8,Serena's Cat,67,Storm Cat,0,1.0,0.0,0.0,0.0,75.56658829680042,60.3706308715131,1.7310289114052386,67.3772447386927,47.917108324900376,67.87505798218025,28.003393941971595,1.6425347822934346,1,0,0,1,1,0,1,0,71.54658850426969
9,Miss Besilu,3,83,82,0,15,Medaglia d'Oro,100000.0,6,Quiet Dance,65,Quiet American,2,0.0,1.0,0.0,0.0,71.97588443260966,53.38421716265162,1.439835861049731,67.02558421288161,26.80359241350957,67.44300990272167,25.829015943782096,1.639462000008791,1,0,0,1,0,0,0,0,69.56334817622164
11,Tatweej,2,103,83,74,10,Tapit,300000.0,11,Tiz Miz Sue,55,Tiznow,4,1.0,0.0,0.0,0.0,74.80545724685928,75.33113544800872,1.6595716893997001,71.79087894936137,36.756885888354255,63.472502345956734,37.595130783797046,1.56456225658395,1,1,0,1,0,0,0,0,72.05041160759963
12,Lidstrom,2,76,93,83,8,Tapit,300000.0,13,Seeking Gabrielle,58,Forestry,2,0.0,0.0,1.0,0.0,74.80545724685928,75.33113544800872,1.6595716893997001,70.5915304529784,40.20282261061466,67.31342856701326,27.948197062472484,1.6599086178278053,1,1,0,1,0,0,0,0,72.20677856702406
13,Metro,0,58,77,67,5,Quality Road,200000.0,10,True Feelings,56,Latent Heat,2,1.0,0.0,0.0,0.0,72.2363092855436,47.52227802858272,1.6724044243674687,70.41876175611317,45.322634436573686,64.50562852683396,40.61679033097211,1.5450770400608318,1,1,0,1,1,0,0,0,70.44056553643651
15,Conquistador,2,83,53,60,11,Tiznow,20000.0,13,Moonbow,49,Distorted Humor,0,0.0,0.0,1.0,0.0,64.93081402329211,34.74062954177614,1.516337504511355,66.1425891463561,29.73996978428783,68.18261323721907,35.74295483005538,1.6589007919699306,0,0,0,0,0,0,0,0,65.84270519845354
17,Sierra Leone,4,112,148,124,5,Gun Runner,70000.0,3,Heavenly Love,72,Malibu Moon,4,1.0,0.0,0.0,0.0,73.34702317456387,49.779264484547674,1.729077759178228,70.10678552847482,46.31995971238377,66.75195339381357,37.86865779961678,1.6177650182973196,1,1,0,1,1,0,1,0,71.22367953132016
18,Mohaymen,4,96,150,146,13,Tapit,125000.0,8,Justwhistledixie,81,Dixie Union,4,1.0,0.0,0.0,0.0,74.80545724685928,75.33113544800872,1.6595716893997001,72.2050891463561,62.42746978428783,65.96197730974613,32.54471999259357,1.6636348755430077,1,1,0,1,1,0,0,0,72.5688064211162
19,Air Vice Marshal,2,95,65,65,13,War Front,60000.0,6,Gold Vault,50,Arch,2,1.0,0.0,0.0,0.0,75.56658829680042,60.3706308715131,1.7310289114052386,71.25241741089982,32.679962811431174,68.42173560102,36.15175975089136,1.6813547820986317,1,1,0,1,0,0,1,0,72.98490058236814
20,I'll Take Charge,2,82,128,0,14,Indian Charlie,70000.0,13,Take Charge Lady,72,Dehere,4,0.0,1.0,0.0,0.0,70.62534918157442,9.064883517206725,1.5361539111449063,67.94011886180814,33.73662637905044,67.43395019955832,25.150299367792464,1.7291958485078907,1,0,0,0,0,0,0,1,69.20680872235381
23,Alexander Valley,1,74,150,124,8,Medaglia d'Oro,150000.0,13,Tara's Tango,75,Unbridled's Song,4,0.0,0.0,1.0,0.0,71.97588443260966,53.38421716265162,1.439835861049731,68.27345219514147,45.403293045717106,67.19858605804627,32.42629377704712,1.5784486517719196,1,0,0,1,1,0,0,0,69.96343839331129
24,Beatbox,3,96,109,127,8,Pioneerof The Nile,110000.0,8,Magical World,71,Distorted Humor,2,1.0,0.0,0.0,0.0,68.84114625319452,37.62342742035382,1.6148901238167659,67.02010188154983,46.988536896328945,68.18261323721907,35.74295483005538,1.6589007919699306,0,0,0,0,1,0,0,0,68.10500077072255
25,Tapit High,0,73,62,57,12,Tapit,125000.0,9,Silver Colors,46,Mr. Greeley,0,0.0,0.0,1.0,0.0,74.80545724685928,75.33113544800872,1.6595716893997001,68.80581616726413,38.417108324900376,64.57079260162652,28.80666560646624,1.5970479210593018,1,0,0,1,0,0,0,0,71.17038317221605
26,Lumino,2,60,67,58,9,Medaglia d'Oro,150000.0,12,Exotic Bloom,52,Montbrook,2,1.0,0.0,0.0,0.0,71.97588443260966,53.38421716265162,1.439835861049731,69.52010188154983,34.988536896328945,62.770920878857005,21.38710344255046,1.5475524958929057,1,0,0,1,0,0,0,0,69.73561600667583
27,Muth,4,98,62,22,5,Good Magic,20000.0,2,Hoppa,58,Uncle Mo,2,1.0,0.0,0.0,0.0,68.12597159218446,34.160493891606244,1.6040611925654755,68.38922057651797,28.80359241350957,66.44564384747675,44.79464448273666,1.494745436641138,0,0,0,0,0,1,0,0,67.96605957499503
28,Marconi,4,96,68,68,11,Tapit,150000.0,10,Ponche De Leona,47,Ponche,0,1.0,0.0,0.0,0.0,74.80545724685928,75.33113544800872,1.6595716893997001,66.3293404878229,35.44919358066194,66.68542842277985,32.789301103240355,1.6169234668694388,1,0,0,1,0,0,0,0,70.62081205758463
29,Capensis,3,91,137,126,7,Tapit,300000.0,14,Tara's Tango,69,Unbridled's Song,4,1.0,0.0,0.0,0.0,74.80545724685928,75.33113544800872,1.6595716893997001,68.27345219514147,45.403293045717106,67.19858605804627,32.42629377704712,1.5784486517719196,1,0,0,1,1,0,0,0,71.3782248004361
30,Chestertown,0,90,101,113,9,Tapit,20000.0,12,Artemis Agrotera,62,Roman Ruler,4,1.0,0.0,0.0,0.0,74.80545724685928,75.33113544800872,1.6595716893997001,68.55209508944651,45.85596776990702,65.46383625103032,33.02066872526523,1.710717438236422,1,0,0,1,1,0,0,0,71.21553734239046
31,Awe Emma,2,88,134,104,11,War Front,150000.0,8,Awesome Maria,68,Maria's Mon,4,0.0,1.0,0.0,0.0,75.56658829680042,60.3706308715131,1.7310289114052386,64.10678552847482,41.653293045717106,64.64315033336986,25.173971687985176,1.6211958602752907,1,0,0,1,0,0,1,0,69.91714163337187
32,Sedona,2,81,82,91,5,Curlin,175000.0,12,America,57,A.P. Indy,3,0.0,1.0,0.0,0.0,72.97797260590544,47.33428480554249,1.7072440827124842,67.63703279551521,41.756885888354255,67.2337085684556,31.33445268873147,1.5803384693373888,1,0,0,1,0,0,0,0,70.24700406665139
35,Inheritance,2,78,58,75,13,Tapit,20000.0,8,Silver Wolf,46,Silver Deputy,0,0.0,1.0,0.0,0.0,74.80545724685928,75.33113544800872,1.6595716893997001,64.85678552847482,30.819959712383774,65.59756538188591,20.332579889899556,1.6443842817044205,1,0,0,1,0,0,0,0,69.94223836567872
39,Vintage Print,2,95,82,73,9,Curlin,100000.0,8,Molly Morgan,58,Ghostzapper,4,1.0,0.0,0.0,0.0,72.97797260590544,47.33428480554249,1.7072440827124842,68.52010188154983,40.63139403918609,67.91277681261727,42.1118052873438,1.667686152622657,1,0,0,1,0,1,0,0,70.65793848338774
40,Nafisa,1,72,85,77,5,Quality Road,200000.0,10,Ithinkisawapudycat,59,Bluegrass Cat,2,0.0,1.0,0.0,0.0,72.2363092855436,47.52227802858272,1.6724044243674687,73.01563479676098,62.65775091936697,63.78125099628078,37.19683342682828,1.668100858774246,1,1,0,1,1,0,0,0,71.24081447108026
41,Pacific,0,56,60,0,15,Smart Strike,20000.0,14,Mini Sermon,57,Pulpit,4,1.0,0.0,0.0,0.0,71.08049349297998,26.514178888173365,1.5409324363820702,62.17549433397675,28.52611665758502,68.92912981417003,31.646506977278978,1.688995738101273,1,0,0,0,0,0,0,0,67.64103923550735
43,Thielen,0,57,110,108,5,Curlin,175000.0,12,Angela Renee,66,Bernardini,4,1.0,0.0,0.0,0.0,72.97797260590544,47.33428480554249,1.7072440827124842,67.44011886180814,42.153293045717106,68.12746428142634,45.370845224131926,1.65433433077508,1,0,0,1,1,1,0,0,70.31214754679952
46,Cyrus Alexander,3,98,68,0,14,Medaglia d'Oro,100000.0,7,Supercharger,54,A.P. Indy,2,1.0,0.0,0.0,0.0,71.97588443260966,53.38421716265162,1.439835861049731,70.02345219514147,31.819959712383774,67.2337085684556,31.33445268873147,1.5803384693373888,1,1,0,1,0,0,0,0,70.58120676987268
47,Coach Prime,2,84,56,48,5,Quality Road,200000.0,10,Act Now,45,Street Sense,2,1.0,0.0,0.0,0.0,72.2363092855436,47.52227802858272,1.6724044243674687,68.52345219514147,32.73662637905044,68.5792725978977,40.852474846553235,1.698412165151567,1,0,0,1,0,0,0,0,70.38825380075596
48,Gun Party,2,83,94,85,5,Curlin,175000.0,12,Carina Mia,62,Malibu Moon,4,1.0,0.0,0.0,0.0,72.97797260590544,47.33428480554249,1.7072440827124842,67.02558421288161,34.530865140782296,66.75195339381357,37.86865779961678,1.6177650182973196,1,0,0,1,0,0,0,0,69.96073378653332
49,Diamondsandpearls,2,79,47,47,11,Congrats,20000.0,8,Azalea Belle,47,Dixie Union,0,0.0,1.0,0.0,0.0,63.870868813321394,23.254421914780302,1.6640717596226962,61.76758914635611,30.48996978428783,65.96197730974613,32.54471999259357,1.6636348755430077,0,0,0,0,0,0,0,0,63.448387204347256
50,Prosper,1,74,30,33,6,City of Light,35000.0,1,Anchorage,42,Tapit,2,1.0,0.0,0.0,0.0,70.17908789493615,42.68338089652774,1.5557988615618583,70.7675891463561,29.73996978428783,66.1657544237053,39.99147027528695,1.607031160335606,1,1,0,1,0,0,0,0,69.7830633122485
51,Formula One,0,70,54,71,12,Smart Strike,20000.0,17,Glamorista,54,Unbridled's Song,2,1.0,0.0,0.0,0.0,71.08049349297998,26.514178888173365,1.5409324363820702,64.17549433397674,35.06457819604656,67.19858605804627,32.42629377704712,1.5784486517719196,1,0,0,0,0,0,0,0,68.08145767208879
53,Heyaarat,2,93,119,0,15,Distorted Humor,100000.0,12,Mushka,66,Empire Maker,4,1.0,0.0,0.0,0.0,70.92693587028891,48.218294081103984,1.5944711704631864,69.09857125705368,32.29534742681579,69.03365952938701,37.32563770164891,1.6437309515485499,1,0,0,1,0,0,0,0,70.0030168045213
55,Carpe Diem,4,98,100,0,14,Giant's Causeway,20000.0,11,Rebridled Dreams,65,Unbridled's Song,2,1.0,0.0,0.0,0.0,69.7764260573393,26.86610356683721,1.6149257965019002,70.73438759583556,34.55996546775752,67.19858605804627,32.42629377704712,1.5784486517719196,0,1,0,0,0,0,0,0,69.72503659591902
56,Crown Queen,4,92,93,0,15,Smart Strike,75000.0,14,Delta Princess,68,A.P. Indy,3,0.0,1.0,0.0,0.0,71.08049349297998,26.514178888173365,1.5409324363820702,70.69011886180814,24.569959712383774,67.2337085684556,31.33445268873147,1.5803384693373888,1,1,0,0,0,0,0,0,70.36684463339118
57,Balon Rose,2,83,107,93,10,War Front,150000.0,9,Aloof ,63,Galileo,3,0.0,1.0,0.0,0.0,75.56658829680042,60.3706308715131,1.7310289114052386,68.94472510320752,43.52611665758502,68.75551564888609,56.6782861847519,1.4612505454708105,1,0,0,1,1,1,1,0,72.22727528185575
58,Sgt. Pepper,2,82,73,73,6,Uncle Mo,125000.0,8,Dame Dorothy,55,Bernardini,4,1.0,0.0,0.0,0.0,69.77932858908008,51.85774453374613,1.5845590805315397,70.56010971859213,38.83380896527733,68.12746428142634,45.370845224131926,1.65433433077508,0,1,0,1,0,1,0,0,69.80482233826123
59,I'm Amazing,1,81,82,0,13,Unbridled's Song,85000.0,16,Tizamazing,65,Cee's Tizzy,0,1.0,0.0,0.0,0.0,68.20254722932115,16.798092680151353,1.509279640227733,68.27345219514147,29.98662637905044,61.69161648267625,25.416829382858033,1.5329961053431997,0,0,0,0,0,0,0,0,67.25072435536153
60,Weyhill Road,2,81,107,102,6,Quality Road,150000.0,9,Catch the Moon,67,Malibu Moon,0,1.0,0.0,0.0,0.0,72.2363092855436,47.52227802858272,1.6724044243674687,76.7050891463561,44.05246978428783,66.75195339381357,37.86865779961678,1.6177650182973196,1,1,0,1,1,0,0,0,72.97772885306847
61,Farraj,2,79,87,93,14,Tapit,20000.0,7,Rhumb Line,60,Mr. Greeley,2,1.0,0.0,0.0,0.0,74.80545724685928,75.33113544800872,1.6595716893997001,63.940118861808145,36.31995971238377,64.57079260162652,28.80666560646624,1.5970479210593018,1,0,0,1,0,0,0,0,69.46738911530646
62,Sahlabiya,2,78,65,65,7,Medaglia d'Oro,250000.0,14,Orchard Beach,50,Tapit,1,0.0,1.0,0.0,0.0,71.97588443260966,53.38421716265162,1.439835861049731,67.40626356474598,36.141501272969634,66.1657544237053,39.99147027528695,1.607031160335606,1,0,0,1,0,0,0,0,69.50499762752172
64,Wait No More,2,80,62,0,15,Medaglia d'Oro,100000.0,6,Wait A While,58,Maria's Mon,4,0.0,1.0,0.0,0.0,71.97588443260966,53.38421716265162,1.439835861049731,66.75285694015435,26.80359241350957,64.64315033336986,25.173971687985176,1.6211958602752907,1,0,0,1,0,0,0,0,69.04791469536433
65,Iron Fist,3,103,116,116,14,Tapit,80000.0,7,Successful Outlook,68,Orientate,3,1.0,0.0,0.0,0.0,74.80545724685928,75.33113544800872,1.6595716893997001,73.3293404878229,45.6030397345081,63.694978075715944,31.477543046310462,1.5905144294665128,1,1,0,1,1,0,0,0,72.62224450552505
66,Gala Award,3,91,78,0,15,Bernardini,60000.0,4,Wilshewed,64,Carson City,1,1.0,0.0,0.0,0.0,65.76481468476815,37.81565923714294,1.5100326698184945,69.5800891463561,35.55246978428783,68.06521199242786,24.350865372368062,1.6495609680504182,0,0,0,0,0,0,0,0,67.4452203424729
67,Nuclear,1,76,62,69,6,Justify,150000.0,1,True Feelings,58,Latent Heat,2,1.0,0.0,0.0,0.0,69.77278768292847,46.85999664269865,1.4253739722433443,70.41876175611317,45.322634436573686,64.50562852683396,40.61679033097211,1.5450770400608318,0,1,0,1,1,0,0,0,69.20880473512894
68,Senor Jobim,2,88,114,109,12,Distorted Humor,100000.0,15,Forest Music,65,Unbridled's Song,4,0.0,0.0,1.0,0.0,70.92693587028891,48.218294081103984,1.5944711704631864,72.3293404878229,38.6030397345081,67.19858605804627,32.42629377704712,1.5784486517719196,1,1,0,1,0,0,0,0,70.85852501458942
69,First Captain,3,100,77,80,8,Curlin,150000.0,9,America,56,A.P. Indy,3,1.0,0.0,0.0,0.0,72.97797260590544,47.33428480554249,1.7072440827124842,67.63703279551521,41.756885888354255,67.2337085684556,31.33445268873147,1.5803384693373888,1,0,0,1,0,0,0,0,70.24700406665139
70,Gioia Stella,2,89,78,0,13,Medaglia d'Oro,100000.0,8,Dowry,58,Belong To Me,2,0.0,1.0,0.0,0.0,71.97588443260966,53.38421716265162,1.439835861049731,67.48318664166905,32.98765511912348,64.92801056549406,24.74695938184152,1.6018803852077153,1,0,0,1,0,0,0,0,69.3462591257131
71,Conquer the World,2,85,92,82,8,Curlin,150000.0,9,Wapi,62,Scat Daddy,4,1.0,0.0,0.0,0.0,72.97797260590544,47.33428480554249,1.7072440827124842,69.19011886180814,36.903293045717106,67.39218830155316,39.07199780249366,1.6556993272865526,1,0,0,1,0,0,0,0,70.81435614981854
72,Stop the Press,1,79,80,81,5,Uncle Mo,125000.0,9,Secret Sigh,58,Tapit,0,1.0,0.0,0.0,0.0,69.77932858908008,51.85774453374613,1.5845590805315397,66.66194784924525,34.16722877714594,66.1657544237053,39.99147027528695,1.607031160335606,0,0,0,1,0,0,0,0,68.14620920533167
73,Islander,2,77,89,89,5,Gun Runner,70000.0,3,Tip at Tapit,59,Tapit,2,0.0,1.0,0.0,0.0,73.34702317456387,49.779264484547674,1.729077759178228,66.48012966742706,34.89450150441866,66.1657544237053,39.99147027528695,1.607031160335606,1,0,0,1,0,0,1,0,69.8664201344372
74,Czarina,1,59,94,82,12,Bernardini,150000.0,7,Pilfer,67,Deputy Minister,0,0.0,1.0,0.0,0.0,65.76481468476815,37.81565923714294,1.5100326698184945,65.94472510320752,34.83380896527733,66.36083538526539,19.307403171448463,1.6686984498375141,0,0,0,0,0,0,0,0,65.91718643629652
75,Golden Whim,0,43,67,58,8,Medaglia d'Oro,150000.0,13,Weekend Whim,51,Distorted Humor,0,1.0,0.0,0.0,0.0,71.97588443260966,53.38421716265162,1.439835861049731,67.61876175611319,35.255967769907016,68.18261323721907,35.74295483005538,1.6589007919699306,1,0,0,1,0,0,0,0,69.8819008165273
84,Hall of Fame,2,94,62,50,5,Gun Runner,70000.0,3,Flag Day,46,Giant's Causeway,0,1.0,0.0,0.0,0.0,73.34702317456387,49.779264484547674,1.729077759178228,68.02558421288161,31.349046958964117,66.00739861759916,37.64527622679458,1.609250709073076,1,0,0,1,0,0,1,0,70.38357585443038
85,Kittansett,2,94,54,59,9,American Pharoah,100000.0,1,Bsharpsonata,54,Pulpit,4,1.0,0.0,0.0,0.0,70.82306557416975,50.19515842188116,1.5062414662029948,67.41876175611318,31.65596776990702,68.92912981417003,31.646506977278978,1.688995738101273,1,0,0,1,0,0,0,0,69.34746887384999
86,Matera,2,92,119,118,9,Tapit,300000.0,12,Miss Macy Sue,66,Trippi,3,0.0,1.0,0.0,0.0,74.80545724685928,75.33113544800872,1.6595716893997001,71.69011886180814,34.403293045717106,69.44506764570208,30.598310700511636,1.8237247579267535,1,1,0,1,0,0,0,1,72.9110303719178
87,Tap Gun,2,82,150,150,11,Tapit,150000.0,10,Quiet Giant,85,Giant's Causeway,4,0.0,1.0,0.0,0.0,74.80545724685928,75.33113544800872,1.6595716893997001,68.19011886180814,49.56995971238377,66.00739861759916,37.64527622679458,1.609250709073076,1,0,0,1,1,0,0,0,71.17038001770236
88,Itzos,2,81,62,69,6,Bolt d'Oro,25000.0,1,Lotta Kim,58,Roar,2,1.0,0.0,0.0,0.0,70.61871056066038,44.16129556200393,1.5600899480716985,71.3772447386927,41.77425118204324,69.57457787140221,25.541807194286488,1.6194057273418543,1,1,0,1,0,0,0,0,70.72757761958296
89,Zero Hour,2,79,50,0,13,Bernardini,20000.0,6,Misty Hour,49,Miswaki,2,1.0,0.0,0.0,0.0,65.76481468476815,37.81565923714294,1.5100326698184945,64.85678552847482,29.98662637905044,59.625476156692386,13.436962371948566,1.6099068485309331,0,0,0,0,0,0,0,0,64.52610370085412
90,Hoodooland,2,76,65,65,7,Medaglia d'Oro,250000.0,14,Theycallmeladyluck,50,Dixie Union,2,0.0,1.0,0.0,0.0,71.97588443260966,53.38421716265162,1.439835861049731,68.7050891463561,34.23996978428783,65.96197730974613,32.54471999259357,1.6636348755430077,1,0,0,1,0,0,0,0,69.92902001399138
91,Believe Now,1,75,60,72,9,Uncle Mo,75000.0,5,Secret,46,Street Cry,1,1.0,0.0,0.0,0.0,69.77932858908008,51.85774453374613,1.5845590805315397,68.5915304529784,37.417108324900376,68.04590815795642,38.37104646797287,1.6744139333405752,0,0,0,1,0,0,0,0,69.10358617677593
96,Extra Anejo,2,96,96,83,6,Into Mischief,150000.0,11,Superioritycomplex,61,Hard Spun,2,1.0,0.0,0.0,0.0,72.51707735606158,50.846145621497655,1.6744161734858012,68.2074023946998,34.34904695896412,65.37018432380538,43.76644988010253,1.6138130896166365,1,0,0,1,0,1,0,0,69.93665716474652
97,Tour de Force,2,92,62,0,13,Tiznow,75000.0,11,Dream Supreme,54,Seeking The Gold,4,1.0,0.0,0.0,0.0,64.93081402329211,34.74062954177614,1.516337504511355,71.3293404878229,27.833808965277328,67.69246550262211,25.071151141895967,1.6612269532805035,0,1,0,0,0,0,0,0,67.58454600777739
98,Miss Hollywood,0,87,79,0,14,Malibu Moon,60000.0,12,Hollywood Story,60,Wild Rush,4,0.0,1.0,0.0,0.0,67.2154860619688,34.973639810366514,1.5426326451659627,73.1520950894465,31.855967769907018,68.02924905566279,25.06204508395648,1.7083827179877125,0,1,0,0,0,0,0,0,69.41536367064009
99,Daily Grind,2,80,82,73,5,Medaglia d'Oro,200000.0,16,Walk Close,58,Tapit,3,1.0,0.0,0.0,0.0,71.97588443260966,53.38421716265162,1.439835861049731,69.02345219514147,36.81995971238377,66.1657544237053,39.99147027528695,1.607031160335606,1,0,0,1,0,0,0,0,70.07101364816015
100,Citational,2,61,72,70,5,Into Mischief,175000.0,12,Nina Fever,51,Borrego,2,0.0,1.0,0.0,0.0,72.51707735606158,50.846145621497655,1.6744161734858012,68.17549433397674,31.52611665758502,66.11719379791778,30.60141130530733,1.6876375715371996,1,0,0,1,0,0,0,0,70.03754076461031
103,Tapit Trice,4,101,70,63,6,Tapit,225000.0,15,Danzatrice,48,Dunkirk,2,1.0,0.0,0.0,0.0,74.80545724685928,75.33113544800872,1.6595716893997001,67.71395587243829,36.52611665758502,61.36719379791777,39.63712559102162,1.6519232858229138,1,0,0,1,0,0,0,0,70.3076922484707
104,American Admiral,0,98,32,40,8,American Pharoah,100000.0,2,Escampette,43,Smart Strike,0,1.0,0.0,0.0,0.0,70.82306557416975,50.19515842188116,1.5062414662029948,68.69011886180814,30.73662637905044,68.58524744227446,37.3209530386376,1.5866112931318956,1,0,0,1,0,0,0,0,69.74086150505889
105,Desert Peace,2,92,62,55,9,Curlin,100000.0,8,Stoweshoe,48,Flatter,0,0.0,0.0,1.0,0.0,72.97797260590544,47.33428480554249,1.7072440827124842,69.17549433397674,38.29534742681579,67.15691145311055,38.48478532780708,1.6637595211481802,1,0,0,1,0,0,0,0,70.77394603781116
106,Urban Legend,2,90,64,59,5,Into Mischief,20000.0,12,Singing Kitty,47,Ministers Wild Cat,2,1.0,0.0,0.0,0.0,72.51707735606158,50.846145621497655,1.6744161734858012,68.63703279551521,37.44919358066194,65.87054411150942,36.37331031183834,1.5358977144305517,1,0,0,1,0,0,0,0,70.16208177318752
107,Milano,2,83,58,53,9,Into Mischief,20000.0,8,Dixie Song,46,Fusaichi Pegasus,0,1.0,0.0,0.0,0.0,72.51707735606158,50.846145621497655,1.6744161734858012,66.25241741089982,31.833808965277328,63.663348348081065,25.519998474916736,1.606479028400762,1,0,0,1,0,0,0,0,68.99638702405788
108,Monaco,2,82,23,33,12,Uncle Mo,20000.0,2,Setareh,35,Sky Classic,3,1.0,0.0,0.0,0.0,69.77932858908008,51.85774453374613,1.5845590805315397,66.93467512197252,29.80359241350957,64.3200180549582,18.12455084238741,1.6234664810511592,0,0,0,1,0,0,0,0,67.96480329547414
109,Fascinating,3,81,129,0,15,Smart Strike,75000.0,14,Untouched Talent,81,Storm Cat,3,0.0,1.0,0.0,0.0,71.08049349297998,26.514178888173365,1.5409324363820702,68.85678552847482,30.569959712383774,67.87505798218025,28.003393941971595,1.6425347822934346,1,0,0,0,0,0,0,0,69.82138037878322
110,Prides Crossing,2,76,75,69,5,Quality Road,200000.0,10,Key to My Heart,55,Galileo,0,0.0,1.0,0.0,0.0,72.2363092855436,47.52227802858272,1.6724044243674687,68.44011886180814,37.903293045717106,68.75551564888609,56.6782861847519,1.4612505454708105,1,0,0,1,0,1,0,0,70.38552359173757
111,Ringside,2,75,72,66,6,Curlin,175000.0,11,Dashing Debby,51,Medaglia d'Oro,0,1.0,0.0,0.0,0.0,72.97797260590544,47.33428480554249,1.7072440827124842,72.2050891463561,40.17746978428783,69.32199187627299,42.200425429038376,1.6913922770924363,1,1,0,1,0,1,0,0,72.1590662856183
112,August Snow,0,64,88,86,11,Tapit,150000.0,10,Refugee,57,Unaccounted For,2,0.0,1.0,0.0,0.0,74.80545724685928,75.33113544800872,1.6595716893997001,72.0800891463561,36.98996978428783,71.12881527662677,33.142427232892814,1.6403378537327216,1,1,1,1,0,0,0,0,73.30008211614829
113,I'll Show Me,0,47,51,40,14,Bernardini,75000.0,5,Pacific Spell,51,Langfuhr,2,0.0,1.0,0.0,0.0,65.76481468476815,37.81565923714294,1.5100326698184945,67.48318664166905,29.52611665758502,61.67312570536679,27.40335806619442,1.5930154080121663,0,0,0,0,0,0,0,0,65.75249152277325
120,Explorer,2,100,28,33,11,Orb,20000.0,1,Remember,40,Forest Wildcat,0,1.0,0.0,0.0,0.0,62.9411177145449,35.99462739142873,1.5706196851992666,71.71395587243829,27.910732042200404,68.19764402079245,27.192916447700345,1.7090290229607923,0,1,0,0,0,0,0,0,66.80009001574471
121,Mc Vay,2,95,79,67,5,Constitution,40000.0,5,Dothraki Sea,54,Union Rags,2,1.0,0.0,0.0,0.0,71.3952839327382,45.50260719425033,1.7119684844814957,66.85678552847482,35.98662637905044,64.73716832753031,40.08641993836795,1.575961642911457,1,0,0,1,0,0,1,0,68.80809215046483
122,Cambier Parc,4,91,80,79,10,Medaglia d'Oro,125000.0,11,Sealy Hill,58,Point Given,3,0.0,1.0,0.0,0.0,71.97588443260966,53.38421716265162,1.439835861049731,69.28542842277984,44.58930110324035,63.768985292913065,29.35364034157575,1.6191948785330987,1,0,0,1,1,0,0,0,69.80318995821474
123,Tap the Faith,2,82,150,150,7,Tapit,300000.0,14,Embellish the Lace,71,Super Saver,4,0.0,1.0,0.0,0.0,74.80545724685928,75.33113544800872,1.6595716893997001,68.02345219514147,46.23662637905044,67.50805594166698,42.48288161390314,1.6005551752890883,1,0,0,1,1,1,0,0,71.3371452829792
124,Pumpkin Scone,2,80,120,110,6,Into Mischief,150000.0,11,Embellish the Lace,67,Super Saver,4,0.0,1.0,0.0,0.0,72.51707735606158,50.846145621497655,1.6744161734858012,68.02345219514147,46.23662637905044,67.50805594166698,42.48288161390314,1.6005551752890883,1,0,0,1,1,1,0,0,70.19295533758034
125,Miss Rockette,2,78,82,78,5,Into Mischief,175000.0,12,Song of Spring,56,Spring At Last,3,0.0,1.0,0.0,0.0,72.51707735606158,50.846145621497655,1.6744161734858012,66.57103875833616,33.89450150441866,66.1783927642374,38.36831318952522,1.7605771667933994,1,0,0,1,0,0,0,1,69.48516115808405
126,Phoenix Fire,2,75,93,90,11,Tapit,150000.0,10,Rote,59,Tiznow,2,1.0,0.0,0.0,0.0,74.80545724685928,75.33113544800872,1.6595716893997001,70.4550891463561,45.23996978428783,63.472502345956734,37.595130783797046,1.56456225658395,1,1,0,1,1,0,0,0,71.58288517654778
129,Lady Zuzu,2,84,56,0,14,Dynaformer,100000.0,22,Indy Pick,55,A.P. Indy,2,0.0,1.0,0.0,0.0,71.07129457317805,9.213734892143915,1.4766828750950496,67.1164933037907,26.80359241350957,67.2337085684556,31.33445268873147,1.5803384693373888,1,0,0,0,0,0,0,0,69.1114762281841
