,name,form,rating,rawErg,erg,age,sire,fee,crop,dam,ems3,bmSire,damForm,sex_C,sex_F,sex_G,sex_R,avgSireRating,avgSireErg,avgSireForm,avgDamRating,avgDamErg,avgBmSireRating,avgBmSireErg,avgBmSireForm,sireIsElite,damIsElite,bmSireIsElite,sireIsEliteErg,damIsEliteErg,bmSireIsEliteErg,sireIsEliteForm,bmSireIsEliteForm,lineage_score
33251,Love and Love,2,88,36,35,10,Goldencents,15000.0,1,Fly the Colors,45,Giant's Causeway,0,0.0,1.0,0.0,0.0,62.589498184625626,28.192530115660144,1.6337147215286127,64.63703279551521,25.372270503738868,66.00739861759916,37.64527622679458,1.609250709073076,0,0,0,0,0,0,0,0,63.81882036338301
33252,Nosilverspoonshere,0,88,37,37,7,Connect,20000.0,1,Grand Style,46,Giant's Causeway,0,0.0,1.0,0.0,0.0,64.07822564548853,33.43846825827137,1.6449289936499463,67.35678552847482,31.23662637905044,66.00739861759916,37.64527622679458,1.609250709073076,0,0,0,0,0,0,0,0,65.51509755035032
33253,Red Sashay,0,88,36,28,14,Big Brown,40000.0,3,Sashay Away,42,Farma Way,2,0.0,1.0,0.0,0.0,65.58125121614964,11.59199666585245,1.5948541517451142,68.71395587243829,29.98765511912348,68.11407131708488,25.341975827430264,1.4626926001520792,0,0,0,0,0,0,0,0,67.05762086099095
33254,Starship Zeus,2,88,67,0,14,Bluegrass Cat,20000.0,5,Willathewest,57,Gone West,0,0.0,0.0,1.0,0.0,64.92483988225601,4.964133763350046,1.6314987241641514,70.3925891463561,26.86496978428783,64.97262917142446,21.726381264356757,1.5895526666774524,0,1,0,0,0,0,0,0,66.84572051806632
33255,Stormy Regatta,2,88,28,0,14,Midshipman,15000.0,1,Storm Front,40,A.P. Indy,0,0.0,1.0,0.0,0.0,68.4763552332384,27.03361032908215,1.6739690190229717,63.06744349166829,24.938921923610803,67.2337085684556,31.33445268873147,1.5803384693373888,0,0,0,0,0,0,0,0,66.39683912397143
33256,Hot Dad,2,87,34,33,12,Sidney's Candy,20000.0,2,Atlantic Ocean,44,Stormy Atlantic,3,1.0,0.0,0.0,0.0,58.339372142303816,14.629551060819143,1.587604152885615,69.09857125705368,25.218424349892715,64.07871351167122,32.30333203373281,1.476488849470542,0,0,0,0,0,0,0,0,62.96599303787137
33257,Tigerbeach,2,87,29,32,11,Treasure Beach,10000.0,1,Cold Blooded,41,Tiger Ridge,0,0.0,0.0,1.0,0.0,61.88731594974841,24.96483383480622,1.6440561213042906,69.19011886180814,29.903293045717106,68.23661218119136,22.73827190138872,1.4643957715154738,0,0,0,0,0,0,0,0,65.39569140368576
33258,Chairman Crooks,2,86,58,0,15,After Market,12500.0,3,Overly Tempting,56,In Excess,3,0.0,0.0,1.0,0.0,62.9580835693097,14.16681747679525,1.5915573659278435,72.5175891463561,35.67746978428783,63.62989670291202,28.925777307814524,1.617516289193272,0,1,0,0,0,0,0,0,66.40468249131628
33259,Cashanova,2,85,30,30,10,Twirling Candy,10000.0,4,Lost Appeal,25,Valid Appeal,2,1.0,0.0,0.0,0.0,70.74696872224303,41.20606844912588,1.7792384378185115,66.71395587243829,24.98765511912348,66.51474389323958,12.978104085822741,1.6840349434536148,1,0,0,0,0,0,1,0,68.70058050046084
33260,Skipin on Orchard,2,85,58,59,9,Bodemeister,30000.0,4,Xtra Spice,60,Quality Road,1,1.0,0.0,0.0,0.0,62.20385788109817,32.95270707434533,1.607431906257921,68.85678552847482,35.653293045717106,63.68188614329451,39.75655872303598,1.4472957187737623,0,0,0,0,0,0,0,0,64.75408679700945
33261,Zapperkat,3,85,46,52,12,Ghostzapper,40000.0,8,Noelle Rose,41,Lion Heart,2,0.0,1.0,0.0,0.0,68.32297039985089,44.31672510626241,1.6374778823607203,67.0216481801306,26.679962811431174,65.89072827674313,32.750585075481084,1.668325830085239,0,0,0,1,0,0,0,0,67.50267130448262
33262,Broth,2,84,31,27,11,Gio Ponti,15000.0,3,Cookie Girl,47,Purge,0,1.0,0.0,0.0,0.0,62.268489143150255,15.95203935365762,1.5929521047279664,67.89890743186457,32.99055979697678,65.95543321871635,29.521959287682055,1.577932000049862,0,0,0,0,0,0,0,0,64.79217715553517
33263,Great Britain,2,84,41,39,7,English Channel,25000.0,11,Rutherienne,41,Pulpit,4,1.0,0.0,0.0,0.0,66.74695519636313,29.185760663341547,1.623957000012888,70.68542842277984,36.122634436573684,68.92912981417003,31.646506977278978,1.688995738101273,0,1,0,0,0,0,0,0,68.45274701828001
33264,Blue Lute,2,83,44,36,11,Midnight Lute,25000.0,6,Gorgeous Goose,44,Mongoose,3,1.0,0.0,0.0,0.0,64.84977950592186,28.880512914947285,1.6181795884342172,67.02558421288161,30.076319686236843,65.28542842277984,25.055967769907017,1.7502568002027723,0,0,0,0,0,0,0,1,65.67665849088647
